"","Species","FUSE","FUn","FSp","Order","Superorder","iucn","ext_prob100","iucn_status","ED2","EDGE2","iucn_cat2"
"185","Carcharhinus signatus",0.128127306971746,0.00109412852499371,0.202079601566798,"Carcharhiniformes","Selachii","3",0.67232,"EN",44.0072694215169,29.5869673774742,"AT"
"186","Carcharhinus sorrah",0.00589268459049576,0.000715673564356854,0.418524879912071,"Carcharhiniformes","Selachii","1",0.014096969,"NT",19.200947559562,0.270675162517771,"NoT"
"187","Carcharhinus tilstoni",0.00189654787285545,0.479896045641015,0.605083147553781,"Carcharhiniformes","Selachii","0",0.001748844,"LC",5.0411710594593,0.00881622176030904,"NoT"
"188","Carcharhinus tjutjot",0.0171671882126204,0.000108809139334816,0.173043220492468,"Carcharhiniformes","Selachii","2",0.1,"VU",16.6622212292696,1.66622212292696,"AT"
"189","Carcharias taurus",0.372108188531939,0.0025617732920399,0.447523478874878,"Lamniformes","Selachii","4",0.999023438,"CR",96.9586195274029,96.863933424,"AT"
"190","Carcharodon carcharias",0.180021579475269,1,0.884029079300428,"Lamniformes","Selachii","2",0.1,"VU",54.3832079108853,5.43832079108853,"AT"
"191","Centrophorus atromarginatus",0.158979316086252,0.000201336554159358,0.172246155761072,"Squaliformes","Selachii","4",0.999023438,"CR",46.5797333937486,46.5342453961461,"AT"
"192","Centrophorus granulosus",0.118643567216405,1.81803568548794e-05,0.187343455645099,"Squaliformes","Selachii","3",0.67232,"EN",44.9466060016243,30.218502147012,"AT"
"193","Centrophorus harrissoni",0.169416298506798,8.38210693613084e-05,0.274491959739637,"Squaliformes","Selachii","3",0.67232,"EN",30.9794272186139,20.8280885076185,"AT"
"194","Centrophorus isodon",0.168890489487439,0.000178307524506334,0.27345394007866,"Squaliformes","Selachii","3",0.67232,"EN",31.1207255811602,20.9230862227256,"AT"
"195","Centrophorus moluccensis",0.0171642710084893,0.000169444751559441,0.172951860046803,"Squaliformes","Selachii","2",0.1,"VU",51.1466936350787,5.11466936350787,"AT"
"196","Centrophorus seychellorum",0.000344993502747938,3.92549700407876e-06,0.197299560395263,"Squaliformes","Selachii","0",0.001748844,"LC",43.8918895133583,0.0767600676240996,"NoT"
"197","Centrophorus squamosus",0.117754301014171,0.000193829658667161,0.185657264852716,"Squaliformes","Selachii","3",0.67232,"EN",46.6307696538233,31.3507990536585,"AT"
"198","Centrophorus tessellatus",0.167135359777557,0.000126824798773187,0.270426982120576,"Squaliformes","Selachii","3",0.67232,"EN",37.91153027667,25.4886800356108,"AT"
"199","Centrophorus westraliensis",0.123463325873718,1.46282569746855e-05,0.195438754189584,"Squaliformes","Selachii","3",0.67232,"EN",37.1569935543845,24.9813899064838,"AT"
"200","Centroscyllium excelsum",0.00853498395439981,0.204725618695547,0.40215303579672,"Squaliformes","Selachii","1",0.014096969,"NT",7.62875922511689,0.107542382304937,"NoT"
"201","Centroscyllium fabricii",0.00030993693734499,0.000314101724816211,0.176937158411881,"Squaliformes","Selachii","0",0.001748844,"LC",6.08131096574705,0.0106352641945809,"NoT"
"202","Centroscyllium granulatum",0.0263306753323163,0.000251052556941073,0.266546158004236,"Squaliformes","Selachii","2",0.1,"VU",4.22151621667734,0.422151621667734,"AT"
"203","Centroscyllium kamoharai",0.000276644542940509,0.00202018313301018,0.156188237709641,"Squaliformes","Selachii","0",0.001748844,"LC",7.29656399980031,0.0127605521716668,"NoT"
"204","Centroscyllium nigrum",0.000278484589662978,0.000379470341899003,0.158881839242625,"Squaliformes","Selachii","0",0.001748844,"LC",4.80685840432148,0.00840644547924719,"NoT"
"205","Centroscyllium ornatum",0.000465359510198535,0.000377416843540421,0.265779827565101,"Squaliformes","Selachii","0",0.001748844,"LC",7.79779542876796,0.0136371277488283,"NoT"
"206","Centroscyllium ritteri",0.000366276686116984,2.70178050387928e-05,0.209450646472425,"Squaliformes","Selachii","0",0.001748844,"LC",6.18662996110256,0.0108194506876944,"NoT"
"207","Centroscymnus coelolepis",0.00907925530608498,0.320271283346899,0.325250173873378,"Squaliformes","Selachii","1",0.014096969,"NT",48.3802713748806,0.682015185783279,"NoT"
"208","Centroscymnus crepidater",0.00384281956746473,0.000184266046355485,0.272938464885988,"Squaliformes","Selachii","1",0.014096969,"NT",48.1634928164943,0.678959265165842,"NoT"
"209","Centroscymnus owstonii",0.0271989560009091,0.00018147143057765,0.275535769259802,"Squaliformes","Selachii","2",0.1,"VU",18.2063894522342,1.82063894522342,"AT"
"210","Centroscymnus plunketi",0.0192149347645873,0.000128815625141129,0.1938759842328,"Squaliformes","Selachii","2",0.1,"VU",6.88847842503986,0.688847842503986,"AT"
"211","Cephaloscyllium albipinnum",0.176999199460792,0.000121044010478397,0.193674949944436,"Carcharhiniformes","Selachii","4",0.999023438,"CR",7.59090528383927,7.58349229419347,"AT"
"212","Cephaloscyllium cooki",0.000402278124659866,5.83737571498419e-05,0.230013038153075,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.4372233462365,0.0217507634257256,"NoT"
"213","Cephaloscyllium fasciatum",0.194563770977652,5.76500473938335e-06,0.214983896949517,"Carcharhiniformes","Selachii","4",0.999023438,"CR",13.1397884271694,13.1269566091034,"AT"
