"","Species","Family","Order","Superorder","habitat","vertical","terrestriality","thermo","feeding","diet","max.length","type of length"
"516","Insentiraja laxipella","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","57","TL"
"517","Insentiraja subtilispinosa","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","57","TL"
"518","Irolita waitii","Anacanthobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","52","TL"
"519","Irolita westraliensis","Anacanthobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","43","TL"
"520","Isistius brasiliensis","Dalatiidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","inverts/fish/high verts","56","TL"
"521","Isistius plutodus","Dalatiidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","fish","42","TL"
"522","Isogomphodon oxyrhynchus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","fish","244","TL"
"523","Isurus oxyrinchus","Lamnidae","Lamniformes","Selachii","all","pelagic","no","meso","macropredator","inverts/fish/high verts","445","TL"
"524","Isurus paucus","Lamnidae","Lamniformes","Selachii","offshore","pelagic","no","meso","macropredator","inverts/fish","430","TL"
"525","Lamiopsis temminckii","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","178","TL"
"526","Lamna ditropis","Lamnidae","Lamniformes","Selachii","all","pelagic","no","meso","macropredator","fish","305","TL"
"527","Lamna nasus","Lamnidae","Lamniformes","Selachii","all","pelagic","no","meso","macropredator","inverts/fish","365","TL"
"528","Leptocharias smithii","Leptochariidae","Carcharhiniformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish","82","TL"
"529","Leucoraja circularis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"530","Leucoraja compagnoi","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","52","TL"
"531","Leucoraja erinacea","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","62","TL"
"532","Leucoraja fullonica","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"533","Leucoraja garmani","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","57","TL"
"534","Leucoraja lentiginosa","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","44","TL"
"535","Leucoraja leucosticta","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","80","TL"
"536","Leucoraja melitensis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","50","TL"
"537","Leucoraja naevus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","81","TL"
"538","Leucoraja ocellata","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"539","Leucoraja pristispina","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","40","TL"
"540","Leucoraja wallacei","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","96","TL"
"541","Leucoraja yucatanensis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","30","TL"
"542","Loxodon macrorhinus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","99","TL"
"543","Makararaja chindwinensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","50","DW"
"544","Malacoraja kreffti","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","60","TL"
"545","Malacoraja obscura","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","68","TL"
"546","Malacoraja senta","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","71","TL"
"547","Malacoraja spinacidermis","Rajidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","inverts/fish","64","TL"
"548","Manta alfredi","Mobulidae","Myliobatiformes","Batoidea","shelf","pelagic","no","ecto","filter feeder","plankton/fish","550","DW"
"549","Manta birostris","Mobulidae","Myliobatiformes","Batoidea","all","pelagic","no","ecto","filter feeder","plankton/fish","910","DW"
"550","Megachasma pelagios","Megachasmidae","Lamniformes","Selachii","all","pelagic","no","ecto","filter feeder","plankton","820","TL"
"551","Mitsukurina owstoni","Mitsukurinidae","Lamniformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","620","TL"
"552","Mobula hypostoma","Mobulidae","Myliobatiformes","Batoidea","all","pelagic","no","ecto","filter feeder","plankton/fish","133","DW"
"553","Mobula kuhlii","Mobulidae","Myliobatiformes","Batoidea","all","pelagic","no","ecto","filter feeder","plankton","135","DW"
"554","Mobula mobular","Mobulidae","Myliobatiformes","Batoidea","all","pelagic","no","ecto","filter feeder","plankton/fish","520","DW"
"555","Mobula munkiana","Mobulidae","Myliobatiformes","Batoidea","shelf","pelagic","no","ecto","filter feeder","plankton","110","DW"
"556","Mobula tarapacana","Mobulidae","Myliobatiformes","Batoidea","all","pelagic","no","ecto","filter feeder","plankton/fish","370","DW"
"557","Mobula thurstoni","Mobulidae","Myliobatiformes","Batoidea","all","pelagic","no","ecto","filter feeder","plankton","189","DW"
"558","Mollisquama parini","Dalatiidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","NA","40","TL"
"559","Mustelus albipinnis","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","129","TL"
"560","Mustelus antarcticus","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","185","TL"
"561","Mustelus asterias","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","140","TL"
"562","Mustelus californicus","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","125","TL"
"563","Mustelus canis","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","freshwater","ecto","macropredator","inverts/fish","155","TL"
"564","Mustelus dorsalis","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","66","TL"
"565","Mustelus fasciatus","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","177","TL"
"566","Mustelus griseus","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","108","TL"
"567","Mustelus henlei","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","100","TL"
"568","Mustelus higmani","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","brackish","ecto","macropredator","inverts/fish","88","TL"
"569","Mustelus lenticulatus","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","brackish","ecto","macropredator","inverts","151","TL"
"570","Mustelus lunulatus","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","175","TL"
"571","Mustelus manazo","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","135","TL"
"572","Mustelus mento","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","130","TL"
"573","Mustelus minicanis","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","57","TL"
"574","Mustelus mosis","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","150","TL"
"575","Mustelus mustelus","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","175","TL"
"576","Mustelus norrisi","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","123","TL"
"577","Mustelus palumbes","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts","113","TL"
"578","Mustelus punctulatus","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","95","TL"
"579","Mustelus ravidus","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","101","TL"
"580","Mustelus schmitti","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","109","TL"
"581","Mustelus sinusmexicanus","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","140","TL"
"582","Mustelus stevensi","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","103","TL"
"583","Mustelus walkeri","Triakidae","Carcharhiniformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","112","TL"
"584","Mustelus whitneyi","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","87","TL"
"585","Mustelus widodoi","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","110","TL"
"586","Myliobatis californica","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","180","DW"
"587","Myliobatis chilensis","Myliobatidae","Myliobatiformes","Batoidea","all","benthopelagic","no","ecto","macropredator","inverts","200","DW"
"588","Myliobatis freminvillei","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","106","DW"
"589","Myliobatis goodei","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","no","ecto","macropredator","inverts","99","DW"
"590","Myliobatis hamlyni","Myliobatidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","114","DW"
"591","Myliobatis longirostris","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","95","DW"
"592","Myliobatis peruvianus","Myliobatidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","131","DW"
"593","Myliobatis ridens","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","70","DW"
"594","Myliobatis tenuicaudatus","Myliobatidae","Myliobatiformes","Batoidea","all","benthopelagic","no","ecto","macropredator","inverts","160","DW"
"595","Myliobatis tobijei","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","67","DW"
"596","Narcine atzi","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","36","TL"
"597","Narcine bancroftii","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","65","TL"
"598","Narcine brasiliensis","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"599","Narcine brevilabiata","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","32","TL"
"600","Narcine entemedor","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","75","TL"
"601","Narcine insolita","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","36","TL"
"602","Narcine lasti","Narcinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","37","TL"
"603","Narcine leoparda","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","30","TL"
"604","Narcine lingula","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","35","TL"
"605","Narcine maculata","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","40","TL"
"606","Narcine nelsoni","Narcinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","35","TL"
"607","Narcine oculifera","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","35","TL"
"608","Narcine ornata","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","24","TL"
"609","Narcine prodorsalis","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","35","TL"
"610","Narcine rierai","Narcinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","30","TL"
"611","Narcine tasmaniensis","Narcinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","47","TL"
"612","Narcine timlei","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","24","TL"
"613","Narcine vermiculatus","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","30","TL"
"614","Narcine westraliensis","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","29","TL"
"615","Narke capensis","Narkidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","38","TL"
"616","Narke dipterygia","Narkidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","35","TL"
"617","Narke japonica","Narkidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","30","TL"
"618","Nasolamia velox","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","165","TL"
"619","Nebrius ferrugineus","Ginglymostomatidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish/high verts","320","TL"
"620","Negaprion acutidens","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","fish","310","TL"
"621","Negaprion brevirostris","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish/high verts","368","TL"
"622","Neoraja africana","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","30","TL"
"623","Neoraja caerulea","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","35","TL"
"624","Neoraja carolinensis","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","29","TL"
"625","Neoraja iberica","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","35","TL"
"626","Neoraja stehmanni","Rajidae","Rajiformes","Batoidea","all","benthic","no","ecto","macropredator","NA","38","TL"
"627","Neotrygon annotata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","28","DW"
"628","Neotrygon kuhlii","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","30","DW"
"629","Neotrygon leylandi","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","27","DW"
"630","Neotrygon ningalooensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","30","DW"
"631","Neotrygon picta","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","32","DW"
"632","Notoraja alisae","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","55","TL"
"633","Notoraja azurea","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","65","TL"
"634","Notoraja fijiensis","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","40","TL"
"635","Notoraja hirticauda","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","45","TL"
"636","Notoraja inusitata","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","44","TL"
"637","Notoraja lira","Arhynchobatidae","Rajiformes","Batoidea","offshore","benthic","no","ecto","macropredator","NA","42","TL"
"638","Notoraja longiventralis","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","43","TL"
"639","Notoraja ochroderma","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","37","TL"
"640","Notoraja sapphira","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","41","TL"
"641","Notoraja sticta","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","63","TL"
"642","Notoraja tobitukai","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","51","TL"
"643","Notorynchus cepedianus","Hexanchidae","Hexanchiformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish/high verts","296","TL"
"644","Odontaspis ferox","Odontaspididae","Lamniformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","450","TL"
"645","Odontaspis noronhai","Odontaspididae","Lamniformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","427","TL"
"646","Okamejei acutispina","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"647","Okamejei arafurensis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","50","TL"
"648","Okamejei boesemani","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","55","TL"
"649","Okamejei cairae","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","39","TL"
"650","Okamejei heemstrai","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","61","TL"
"651","Okamejei hollandi","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"652","Okamejei jensenae","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","53","TL"
"653","Okamejei kenojei","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","52","TL"
"654","Okamejei leptoura","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","56","TL"
"655","Okamejei meerdervoortii","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","38","TL"
"656","Okamejei philipi","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","36","TL"
"657","Okamejei pita","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","47","TL"
"658","Okamejei powelli","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","53","DW"
"659","Okamejei schmidti","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","52","TL"
"660","Orectolobus floridus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","75","TL"
"661","Orectolobus halei","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","fish","206","TL"
"662","Orectolobus hutchinsi","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","149","TL"
"663","Orectolobus japonicus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","118","TL"
"664","Orectolobus maculatus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish","320","TL"
"665","Orectolobus ornatus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"666","Orectolobus parvimaculatus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","94","TL"
"667","Orectolobus reticulatus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","52","TL"
"668","Orectolobus wardi","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","100","TL"
"669","Oxynotus bruniensis","Oxynotidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","fish","91","TL"
"670","Oxynotus caribbaeus","Oxynotidae","Squaliformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"671","Oxynotus centrina","Oxynotidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"672","Oxynotus japonicus","Oxynotidae","Squaliformes","Selachii","slope","benthic","no","ecto","macropredator","NA","65","TL"
"673","Oxynotus paradoxus","Oxynotidae","Squaliformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","118","TL"
"674","Paragaleus leucolomatus","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","96","TL"
"675","Paragaleus pectoralis","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","138","TL"
"676","Paragaleus randalli","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","84","TL"
"677","Paragaleus tengi","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","93","TL"
"678","Parascyllium collare","Parascylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","87","TL"
"679","Parascyllium elongatum","Parascylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","42","TL"
"680","Parascyllium ferrugineum","Parascylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","82","TL"
"681","Parascyllium sparsimaculatum","Parascylliidae","Orectolobiformes","Selachii","slope","benthic","no","ecto","macropredator","NA","79","TL"
"682","Parascyllium variolatum","Parascylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","91","TL"
"683","Paratrygon aiereba","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","160","DW"
"684","Parmaturus albimarginatus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","58","TL"
"685","Parmaturus albipenis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","41.5","TL"
"686","Parmaturus bigus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","71","TL"
"687","Parmaturus lanatus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","36","TL"
"688","Parmaturus macmillani","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","53","TL"
"689","Parmaturus melanobranchus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","85","TL"
"690","Parmaturus pilosus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","64","TL"
"691","Parmaturus xaniurus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","61","TL"
"692","Pastinachus atrus","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","200","DW"
"693","Pastinachus sephen","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","89","DW"
"694","Pastinachus solocirostris","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","69","DW"
"695","Pavoraja alleni","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","35","TL"
"696","Pavoraja arenaria","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","34","TL"
"697","Pavoraja mosaica","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","28","TL"
"698","Pavoraja nitida","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","37","TL"
"699","Pavoraja pseudonitida","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","37","TL"
"700","Pavoraja umbrosa","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","37","TL"
"701","Pentanchus profundicolus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","51","TL"
"702","Planonasus parini","Pseudotriakidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","NA","53","TL"
"703","Platyrhina sinensis","Platyrhinidae ","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","55","TL"
"704","Platyrhinoidis triseriata","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","91","TL"
"705","Plesiobatis daviesi","Plesiobatidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","270","DW"
"706","Plesiotrygon iwamae","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","65","DW"
"707","Pliotrema warreni","Pristiophoridae","Pristiophoriformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","136","TL"
"708","Poroderma africanum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","109","TL"
"709","Poroderma pantherinum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","77","TL"
"710","Potamotrygon brachyura","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","150","DW"
"711","Potamotrygon constellata","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","43","DW"
"712","Potamotrygon henlei","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","72","DW"
"713","Potamotrygon hystrix","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","40","DW"
"714","Potamotrygon leopoldi","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","72","DW"
"715","Potamotrygon magdalenae","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","47","DW"
"716","Potamotrygon marinae","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","42","DW"
"717","Potamotrygon motoro","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","48","DW"
"718","Potamotrygon ocellata","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","19","DW"
"719","Potamotrygon orbignyi","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","61","DW"
"720","Potamotrygon scobina","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","66","DW"
"721","Potamotrygon signata","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","45","DW"
"722","Potamotrygon yepezi","Potamotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","56","DW"
"723","Prionace glauca","Carcharhinidae","Carcharhiniformes","Selachii","all","pelagic","brackish","ecto","macropredator","inverts/fish/high verts","384","TL"
